num_date_time,answer
1 2020-08-25 00,8587.651979051414
1 2020-08-25 01,8571.106361590759
1 2020-08-25 02,8542.401863264951
1 2020-08-25 03,8567.71452529899
1 2020-08-25 04,8602.706565242475
1 2020-08-25 05,8581.751259977682
1 2020-08-25 06,8595.283335642604
1 2020-08-25 07,8633.804025606352
1 2020-08-25 08,8643.983064361191
1 2020-08-25 09,8672.627420460021
1 2020-08-25 10,8669.229499446092
1 2020-08-25 11,8778.419334700411
1 2020-08-25 12,8697.418056073811
1 2020-08-25 13,8758.769182769283
1 2020-08-25 14,8725.795825651005
1 2020-08-25 15,8752.580734266057
1 2020-08-25 16,8769.06459257965
1 2020-08-25 17,8723.166325067998
1 2020-08-25 18,8800.99121886982
1 2020-08-25 19,8686.950213550006
1 2020-08-25 20,8630.090559445012
1 2020-08-25 21,8658.852906981238
1 2020-08-25 22,8697.6880471183
1 2020-08-25 23,8654.277401255236
1 2020-08-26 00,8555.451889506145
1 2020-08-26 01,8530.958695353118
1 2020-08-26 02,8517.468753110154
1 2020-08-26 03,8559.925446132056
1 2020-08-26 04,8560.534613616788
1 2020-08-26 05,8579.598925686858
1 2020-08-26 06,8625.00018185054
1 2020-08-26 07,8609.283051993258
1 2020-08-26 08,8586.507810221055
1 2020-08-26 09,8672.228100813796
1 2020-08-26 10,8772.104497126213
1 2020-08-26 11,8831.265679366741
1 2020-08-26 12,8799.209823182557
1 2020-08-26 13,8784.963564379424
1 2020-08-26 14,8789.713811205196
1 2020-08-26 15,8814.346505174442
1 2020-08-26 16,8761.909834114651
1 2020-08-26 17,8727.722253659758
1 2020-08-26 18,8708.047541186808
1 2020-08-26 19,8736.991082075303
1 2020-08-26 20,8649.23931615521
1 2020-08-26 21,8649.20369818511
1 2020-08-26 22,8683.214266197443
1 2020-08-26 23,8602.462647959906
1 2020-08-27 00,8567.948901253183
1 2020-08-27 01,8593.241975530787
1 2020-08-27 02,8576.710965708844
1 2020-08-27 03,8624.356489913403
1 2020-08-27 04,8599.195038740332
1 2020-08-27 05,8593.720984472773
1 2020-08-27 06,8597.97908971863
1 2020-08-27 07,8650.553737457943
1 2020-08-27 08,8620.732376287073
1 2020-08-27 09,8632.27747971783
1 2020-08-27 10,8653.39408225882
1 2020-08-27 11,8679.483410383631
1 2020-08-27 12,8670.163127309377
1 2020-08-27 13,8702.047172101164
1 2020-08-27 14,8701.747676243363
1 2020-08-27 15,8722.091572232064
1 2020-08-27 16,8710.226371625202
1 2020-08-27 17,8677.45618212382
1 2020-08-27 18,8640.767676547266
